date,time,runner
17 Apr 2017,2:09:37,Geoffrey Kirui Kipkorir (KEN)
18 Apr 2016,2:12:45,Lemi Berhanu Hayle (ETH)
20 Apr 2015,2:09:17,Lelisa Desisa Benti-2
21 Apr 2014,2:08:37,Mebrahtom Keflezighi (CA/USA)
15 Apr 2013,2:10:22,Lelisa Desisa Benti (ETH)
16 Apr 2012,2:12:40,Wesley Korir (KEN)
18 Apr 2011,2:03:02,Geoffrey Mutai Kiprono (KEN)
19 Apr 2010,2:05:52,Robert Cheruiyot Kiprono (KEN)
20 Apr 2009,2:08:42,Deribe Mergia Ejigu (ETH)
21 Apr 2008,2:07:46,Robert Cheruiyot Kipkoech-4
16 Apr 2007,2:14:13,Robert Cheruiyot Kipkoech-3
17 Apr 2006,2:07:14,Robert Cheruiyot Kipkoech-2
18 Apr 2005,2:11:45,Hailu Neguse (ETH)
19 Apr 2004,2:10:37,Timothy Cherigat (KEN)
21 Apr 2003,2:10:11,Robert Cheruiyot Kipkoech (KEN)
15 Apr 2002,2:09:02,Rogers Rop (KEN)
16 Apr 2001,2:09:43,Bong-Ju Lee (KOR)
17 Apr 2000,2:09:47,Elijah Lagat (KEN)
19 Apr 1999,2:09:52,Joseph Chebet (KEN)
20 Apr 1998,2:07:34,Moses Tanui-2
21 Apr 1997,2:10:34,Lameck Aguta (KEN)
15 Apr 1996,2:09:16,Moses Tanui (KEN)
17 Apr 1995,2:09:22,Cosmas Ndeti-3
18 Apr 1994,2:07:15,Cosmas Ndeti-2
19 Apr 1993,2:09:33,Cosmas Ndeti (KEN)
20 Apr 1992,2:08:14,Ibrahim Hussein-3
15 Apr 1991,2:11:06,Ibrahim Hussein-2
16 Apr 1990,2:08:19,Gelindo Bordin (ITA)
17 Apr 1989,2:09:06,Abebe Mekonnen (ETH)
18 Apr 1988,2:08:43,Ibrahim Hussein (KEN)
20 Apr 1987,2:11:50,Toshihiko Seko-2
21 Apr 1986,2:07:51,Rob deCastella (AUS)
15 Apr 1985,2:14:05,Geoff Smith-2
16 Apr 1984,2:10:34,Geoff Smith (ENG)
18 Apr 1983,2:09:01,Greg Meyer (MI/USA)
19 Apr 1982,2:08:52,Alberto Salazar (USA)
20 Apr 1981,2:09:27,Toshihiko Seko (JPN)
21 Apr 1980,2:12:11,Bill Rodgers-4
16 Apr 1979,2:09:28,Bill Rodgers-3
17 Apr 1978,2:10:14,Bill Rodgers-2
18 Apr 1977,2:14:46,Jerome Drayton (CAN)
19 Apr 1976,2:20:19,Jack Fultz (USA)
21 Apr 1975,2:09:56,Bill Rodgers (MA/USA)
15 Apr 1974,2:13:40,Neil Cusack (IRL)
16 Apr 1973,2:16:03,Jon Anderson (OR/USA)
17 Apr 1972,2:15:39,Olavi Suomalainen (FIN)
19 Apr 1971,2:18:45,Alvaro Mejia Flores (COL)
20 Apr 1970,2:10:31,Ron Hill (ENG)
21 Apr 1969,2:13:49,Yoshiaki Unetani (JPN)
19 Apr 1968,2:22:17,Amby Burfoot (CT/USA)
19 Apr 1967,2:15:45,David McKenzie (NZL)
19 Apr 1966,2:17:11,Kenji Kimihara (JPN)
19 Apr 1965,2:16:33,Morio Shigematsu (JPN)
20 Apr 1964,2:19:59,Aurele Vandendriessche-2
